question,answer,cleaned_question,cleaned_answer
it's too bad that i couldn't make it. who won?,our team played hard and won.,bad win,team play hard win
our team played hard and won.,i really wish i went to the game.,team play hard win,wish go game
i really wish i went to the game.,it was the best game ever.,wish go game,good game
it was the best game ever.,so tell me the final score.,good game,tell final score
so tell me the final score.,"the other team lost by three points, 101-98. ",tell final score,team lose point
"the other team lost by three points, 101-98. ",it must've been a close game.,team lose point,close game
it must've been a close game.,it really was. you should've gone.,close game,go
what are you doing this weekend?,i'm going to the movies with a friend. how about you?,weekend,go movie friend
i'm going to the movies with a friend. how about you?,i'm not sure yet.,go movie friend,sure
i'm not sure yet.,"well, did you want to go see a movie with me?",sure,want movie
"well, did you want to go see a movie with me?",what movie are you going to see?,want movie,movie go
what movie are you going to see?,i'm not sure yet. is there something you want to see?,movie go,sure want
i'm not sure yet. is there something you want to see?,there's nothing i can think of.,sure want,think
there's nothing i can think of.,"so, did you want to go?",think,want
"so, did you want to go?","no, thanks, maybe another time.",want,thank maybe time
"no, thanks, maybe another time.","okay, sounds good.",thank maybe time,okay sound good
do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?,know go weekend,go movie friend
i am going to see a movie with a friend of mine. what about you?,i don't know.,go movie friend,know
i don't know.,would you like to see a movie with me and my friend?,know,like movie friend
would you like to see a movie with me and my friend?,do you know what movie you're going to watch?,like movie friend,know movie go watch
do you know what movie you're going to watch?,"i don't know, but was there a certain movie you wanted to see?",know movie go watch,know certain movie want
"i don't know, but was there a certain movie you wanted to see?",none that i can think of.,know certain movie want,think
none that i can think of.,"well, would you like to go?",think,like
"well, would you like to go?","thank you for inviting me, but i think i'll pass.",like,thank invite think pass
"thank you for inviting me, but i think i'll pass.",all right. another time then.,thank invite think pass,right time
you have any ideas as to what you want to do this weekend?,i'm going to the movie theater with my friend. what are you going to do?,idea want weekend,go movie theater friend go
i'm going to the movie theater with my friend. what are you going to do?,i'm not quite sure yet.,go movie theater friend go,sure
i'm not quite sure yet.,how about you see a movie with me and my friend?,sure,movie friend
how about you see a movie with me and my friend?,what movie are you and your friend planning on watching?,movie friend,movie friend plan watch
what movie are you and your friend planning on watching?,not sure. is there a movie out that catches your eye?,movie friend plan watch,sure movie catch eye
not sure. is there a movie out that catches your eye?,no good movies come to mind.,sure movie catch eye,good movie come mind
no good movies come to mind.,have you decided whether or not you would like to go?,good movie come mind,decide like
have you decided whether or not you would like to go?,"no, thanks. maybe another time.",decide like,thank maybe time
did you go to school today?,"yeah, i went to school today. were you there?",school today,yeah go school today
"yeah, i went to school today. were you there?","no, i didn't go, i've been sick.",yeah go school today,sick
"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?,sick,suck want assignment english class
that sucks. did you want the assignments from english class?,"that would be nice, thank you.",suck want assignment english class,nice thank
"that would be nice, thank you.","no problem, you're welcome.",nice thank,problem welcome
"no problem, you're welcome.",i will be glad to do the same for you when you're sick.,problem welcome,glad sick
i will be glad to do the same for you when you're sick.,"well, thank you. i hope to see you at school tomorrow.",glad sick,thank hope school tomorrow
have you attended school today?,i attended school today. did you?,attend school today,attend school today
i attended school today. did you?,i wasn't able to attend school because i was feeling ill.,attend school today,able attend school feel ill
i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?,able attend school feel ill,sorry hear like assignment english class
i'm sorry to hear that. would you like the assignments from english class?,"i would really appreciate that, thanks.",sorry hear like assignment english class,appreciate thank
"i would really appreciate that, thanks.",it's no trouble at all.,appreciate thank,trouble
